time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2016-01-14T11:32:24.250Z,32.836,-115.49,3.42,1.57,ml,13,102,0.04754,0.23,ci,ci37295967,2016-01-14T11:36:13.786Z,"8km E of Imperial, California",earthquake
2016-01-14T11:07:37.500Z,38.7993317,-122.7388306,0.66,1.55,md,20,52,0.01616,0.03,nc,nc72579861,2016-01-14T11:29:05.017Z,"2km SSW of Cobb, California",earthquake
2016-01-14T11:04:26.620Z,-15.8172,-177.3252,59.33,5.1,mb,,107,4.824,1.08,us,us10004efn,2016-01-14T11:22:15.567Z,"190km SSE of Sigave, Wallis and Futuna",earthquake
2016-01-14T11:04:23.880Z,38.8068352,-122.7943344,0.59,1.56,md,28,62,0.001361,0.04,nc,nc72579851,2016-01-14T11:34:04.036Z,"4km NW of The Geysers, California",earthquake
2016-01-14T11:00:38.000Z,59.7251,-152.0733,85.7,2.2,ml,,,,1.63,ak,ak12460454,2016-01-14T11:10:57.880Z,"14km WSW of Anchor Point, Alaska",earthquake
2016-01-14T10:53:57.760Z,38.8243332,-122.8424988,1.79,0.69,md,13,114,0.005959,0.02,nc,nc72579846,2016-01-14T11:22:04.996Z,"9km NW of The Geysers, California",earthquake
2016-01-14T10:49:38.030Z,38.8455009,-122.8258362,1.85,0.56,md,12,89,0.00935,0.02,nc,nc72579841,2016-01-14T11:10:04.954Z,"9km WNW of Cobb, California",earthquake
2016-01-14T10:26:27.380Z,38.8426666,-122.8314972,0.88,0.85,md,10,88,0.005127,0.03,nc,nc72579836,2016-01-14T10:58:04.933Z,"9km WNW of Cobb, California",earthquake
2016-01-14T10:22:51.520Z,38.8269997,-122.8533325,1.79,0.83,md,16,88,0.002819,0.03,nc,nc72579831,2016-01-14T10:46:07.913Z,"10km WNW of The Geysers, California",earthquake
2016-01-14T10:17:46.610Z,38.8116684,-122.7839966,0.05,1.6,md,24,58,0.003036,0.04,nc,nc72579826,2016-01-14T10:34:03.868Z,"4km NNW of The Geysers, California",earthquake
2016-01-14T10:04:51.978Z,39.0795,-117.8865,3,1.6,ml,18,163.99,0.17,,nn,nn00526863,2016-01-14T10:07:36.352Z,"23km N of Gabbs, Nevada",earthquake
2016-01-14T10:01:49.000Z,63.4986,-147.9928,1.4,1.5,ml,,,,0.82,ak,ak12460325,2016-01-14T10:21:44.121Z,"49km ENE of Cantwell, Alaska",earthquake
2016-01-14T09:35:27.450Z,34.157,-117.412,8.06,0.6,ml,12,113,0.08883,0.08,ci,ci37295959,2016-01-14T09:39:11.135Z,"6km W of Muscoy, California",earthquake
2016-01-14T09:32:28.630Z,38.8233337,-122.786499,1.44,0.85,md,11,72,0.01104,0.02,nc,nc72579821,2016-01-14T09:55:04.761Z,"5km W of Cobb, California",earthquake
2016-01-14T09:25:49.680Z,33.451,-116.8268333,14.44,0.79,ml,29,73,0.1016,0.15,ci,ci37295951,2016-01-14T09:29:33.182Z,"4km ENE of Aguanga, California",earthquake
2016-01-14T09:14:58.480Z,38.8378334,-122.8376694,1.3,1.65,md,28,62,0.001864,0.04,nc,nc72579816,2016-01-14T11:32:04.022Z,"9km NW of The Geysers, California",earthquake
2016-01-14T09:09:11.200Z,38.8086662,-122.8153305,-0.63,1.34,md,22,102,0.01082,0.16,nc,nc72579811,2016-01-14T11:03:04.941Z,"6km NW of The Geysers, California",earthquake
2016-01-14T09:00:29.920Z,38.7980003,-122.7399979,0.48,1.18,md,14,70,0.01928,0.02,nc,nc72579806,2016-01-14T10:35:07.870Z,"2km NNE of The Geysers, California",earthquake
2016-01-14T08:50:40.250Z,38.8258324,-122.8539963,2.31,1.71,md,27,47,0.01506,0.03,nc,nc72579801,2016-01-14T10:07:04.807Z,"10km WNW of The Geysers, California",earthquake
2016-01-14T08:48:00.660Z,34.482,-118.077,12.66,0.91,ml,14,46,0.03376,0.14,ci,ci37295943,2016-01-14T08:51:51.511Z,"4km ESE of Vincent, California",earthquake
2016-01-14T08:38:21.910Z,19.3941669,-155.2526703,1.68,1.81,ml,28,48,0.008707,0.19,hv,hv61151421,2016-01-14T08:44:05.050Z,"4km SSW of Volcano, Hawaii",earthquake
2016-01-14T08:33:52.370Z,39.3493,-119.9692,6.6,0.9,ml,8,119.53,0.072,,nn,nn00526861,2016-01-14T08:34:59.368Z,"10km N of Incline Village, Nevada",earthquake
2016-01-14T08:14:20.000Z,64.9391,-149.0103,21.3,1,ml,,,,0.41,ak,ak12460321,2016-01-14T08:33:36.269Z,"40km N of North Nenana, Alaska",earthquake
2016-01-14T08:05:25.440Z,38.8089981,-122.8181686,2.82,0.88,md,17,105,0.008603,0.03,nc,nc72579791,2016-01-14T09:40:04.736Z,"6km WNW of The Geysers, California",earthquake
2016-01-14T08:02:02.230Z,33.9933333,-117.9938333,4.37,1.67,ml,48,35,0.03923,0.22,ci,ci37295935,2016-01-14T08:06:04.465Z,"2km W of Hacienda Heights, California",earthquake
2016-01-14T07:46:04.440Z,18.9516659,-155.5406647,40.74,2.79,ml,57,234,0.1235,0.15,hv,hv61151346,2016-01-14T07:52:22.049Z,"26km ESE of Hawaiian Ocean View, Hawaii",earthquake
2016-01-14T07:45:39.070Z,19.316,-155.2208405,7.25,2.24,ml,22,77,0.03477,0.13,hv,hv61151341,2016-01-14T07:51:21.150Z,"12km S of Volcano, Hawaii",earthquake
2016-01-14T07:39:36.160Z,33.5956667,-116.8085,9.82,0.28,ml,16,84,0.03711,0.12,ci,ci37295919,2016-01-14T07:43:17.620Z,"13km WNW of Anza, California",earthquake
2016-01-14T07:25:30.540Z,33.3601667,-116.311,8.72,0.65,ml,17,107,0.1277,0.19,ci,ci37295911,2016-01-14T07:29:21.103Z,"13km NNE of Borrego Springs, California",earthquake
2016-01-14T07:07:21.960Z,41.9213,-119.614,7,1.5,ml,7,181.1,0.162,,nn,nn00526856,2016-01-14T07:10:04.492Z,"67km ESE of Lakeview, Oregon",earthquake
2016-01-14T06:57:12.000Z,56.7895,-155.4477,81,3.1,ml,,,,0.67,ak,ak12460313,2016-01-14T07:18:10.530Z,"107km N of Chirikof Island, Alaska",earthquake
2016-01-14T06:54:03.000Z,60.6065,-147.9467,15.2,1.9,ml,,,,0.8,ak,ak12460311,2016-01-14T07:17:46.193Z,"44km ESE of Whittier, Alaska",earthquake
2016-01-14T06:50:28.100Z,38.8058319,-122.8213348,2.25,0.6,md,7,140,0.02045,0.02,nc,nc72579771,2016-01-14T07:07:04.979Z,"6km WNW of The Geysers, California",earthquake
2016-01-14T06:44:46.650Z,19.3396664,-155.2044983,5.34,1.75,md,47,73,0.03549,0.22,hv,hv61151251,2016-01-14T06:48:14.590Z,"10km SSE of Volcano, Hawaii",earthquake
2016-01-14T06:37:35.000Z,60.1684,-153.324,150.4,3.5,ml,,,,0.85,ak,ak12460208,2016-01-14T07:18:33.903Z,"47km SW of Redoubt Volcano, Alaska",earthquake
2016-01-14T06:32:06.790Z,33.5048333,-116.4038333,13.87,0.36,ml,11,119,0.1151,0.15,ci,ci37295903,2016-01-14T06:35:44.637Z,"20km SSW of La Quinta, California",earthquake
